Sentence #,Word,POS,Tag
Sentence: 1,Once,0,O
,upon,0,O
,a,0,O
,time,0,O
,",",0,O
,there,0,O
,was,0,O
,a,0,O
,group,0,O
,of,0,O
,frogs,0,B-per
,living,0,O
,in,0,O
,a,0,O
,small,0,O
,pond,0,O
,.,0,O
Sentence: 2,One,0,O
,day,0,O
,",",0,O
,a,0,O
,group,0,O
,of,0,O
,young,0,O
,frogs,0,B-per
,challenged,0,O
,the,0,O
,older,0,O
,",",0,O
,wiser,0,O
,frogs,0,B-per
,to,0,O
,a,0,O
,jumping,0,O
,competition,0,O
,.,0,O
Sentence: 3,The,0,O
,young,0,O
,frogs,0,B-per
,boasted,0,O
,about,0,O
,how,0,O
,high,0,O
,they,0,O
,could,0,O
,jump,0,O
,",",0,O
,and,0,O
,challenged,0,O
,the,0,O
,older,0,O
,frogs,0,B-per
,to,0,O
,do,0,O
,the,0,O
,same,0,O
,.,0,O
Sentence: 4,The,0,O
,competition,0,O
,began,0,O
,",",0,O
,and,0,O
,one,0,O
,by,0,O
,one,0,O
,",",0,O
,the,0,O
,young,0,O
,frogs,0,B-per
,jumped,0,O
,as,0,O
,high,0,O
,as,0,O
,they,0,O
,could,0,O
,.,0,O
Sentence: 5,The,0,O
,older,0,O
,frogs,0,B-per
,watched,0,O
,",",0,O
,and,0,O
,when,0,O
,it,0,O
,was,0,O
,their,0,O
,turn,0,O
,",",0,O
,they,0,O
,simply,0,O
,stood,0,O
,in,0,O
,place,0,O
,.,0,O
Sentence: 6,Confused,0,O
,",",0,O
,the,0,O
,young,0,O
,frogs,0,B-per
,asked,0,O
,why,0,O
,they,0,O
,were,0,O
,n't,0,O
,jumping,0,O
,.,0,O
Sentence: 7,One,0,O
,of,0,O
,the,0,O
,older,0,O
,frogs,0,B-per
,replied,0,O
,",",0,O
,``,0,O
,We,0,O
,have,0,O
,already,0,O
,jumped,0,O
,as,0,O
,high,0,O
,as,0,O
,we,0,O
,needed,0,O
,to,0,O
,.,0,O
Sentence: 8,We,0,O
,have,0,O
,learned,0,O
,through,0,O
,experience,0,O
,that,0,O
,jumping,0,O
,recklessly,0,O
,can,0,O
,be,0,O
,dangerous,0,O
,and,0,O
,can,0,O
,lead,0,O
,to,0,O
,injury,0,O
,.,0,O
Sentence: 9,It,0,O
,'s,0,O
,not,0,O
,about,0,O
,who,0,O
,can,0,O
,jump,0,O
,the,0,O
,highest,0,O
,",",0,O
,but,0,O
,about,0,O
,knowing,0,O
,when,0,O
,to,0,O
,jump,0,O
,and,0,O
,when,0,O
,not,0,O
,to,0,O
,.,0,O
Sentence: 1,A,0,O
,SAILOR,0,B-per
,",",0,O
,bound,0,O
,on,0,O
,a,0,O
,long,0,O
,voyage,0,O
,",",0,O
,took,0,O
,with,0,O
,him,0,O
,a,0,O
,Monkey,0,B-per
,to,0,O
,amuse,0,O
,him,0,O
,while,0,O
,on,0,O
,shipboard,0,O
,.,0,O
Sentence: 2,As,0,O
,he,0,O
,sailed,0,O
