Sentence #,Word,POS,Tag
Sentence: 1,It,0,O
,happened,0,O
,that,0,O
,a,0,O
,Fisher,0,B-per
,",",0,O
,after,0,O
,fishing,0,O
,all,0,O
,day,0,O
,",",0,O
,caught,0,O
,only,0,O
,a,0,O
,little,0,O
,fish,0,B-per
,.,0,O
Sentence: 2,“,0,O
,Pray,0,O
,",",0,O
,let,0,O
,me,0,O
,go,0,O
,",",0,O
,master,0,O
,",",0,O
,”,0,O
,said,0,O
,the,0,O
,Fish,0,B-per
,.,0,O
Sentence: 3,“,0,O
,I,0,O
,am,0,O
,much,0,O
,too,0,O
,small,0,O
,for,0,O
,your,0,O
,eating,0,O
,just,0,O
,now,0,O
,.,0,O
Sentence: 4,If,0,O
,you,0,O
,put,0,O
,me,0,O
,back,0,O
,into,0,O
,the,0,O
,river,0,O
,I,0,O
,shall,0,O
,soon,0,O
,grow,0,O
,",",0,O
,then,0,O
,you,0,O
,can,0,O
,make,0,O
,a,0,O
,fine,0,O
,meal,0,O
,off,0,O
,me.,0,O
,”,0,O
,“,0,O
,Nay,0,O
,",",0,O
,nay,0,O
,",",0,O
,my,0,O
,little,0,O
,Fish,0,B-per
,",",0,O
,”,0,O
,said,0,O
,the,0,O
,Fisher,0,B-per
,",",0,O
,“,0,O
,I,0,O
,have,0,O
,you,0,O
,now,0,O
,.,0,O
Sentence: 5,I,0,O
,may,0,O
,not,0,O
,catch,0,O
,you,0,O
,hereafter.,0,O
,”,0,O
,A,0,O
,little,0,O
,thing,0,O
,in,0,O
,hand,0,O
,is,0,O
,worth,0,O
,more,0,O
,than,0,O
,a,0,O
,great,0,O
,thing,0,O
,in,0,O
,prospect,0,O
,.,0,O
Sentence: 1,A,0,O
,Horse,0,B-per
,and,0,O
,an,0,O
,Ass,0,B-per
,were,0,O
,travelling,0,O
,together,0,O
,",",0,O
,the,0,O
,Horse,0,B-per
,prancing,0,O
,along,0,O
,in,0,O
,its,0,O
,fine,0,O
,trappings,0,O
,",",0,O
,the,0,O
,Ass,0,B-per
,carrying,0,O
,with,0,O
,difficulty,0,O
,the,0,O
,heavy,0,O
,weight,0,O
,in,0,O
,its,0,O
,panniers,0,O
,.,0,O
Sentence: 2,“,0,O
,I,0,O
,wish,0,O
,I,0,O
,were,0,O
,you,0,O
,",",0,O
,”,0,O
,sighed,0,O
,the,0,O
,Ass,0,B-per
,;,0,O
,“,0,O
,nothing,0,O
,to,0,O
,do,0,O
,and,0,O
,well,0,O
,fed,0,O
,",",0,O
,and,0,O
,all,0,O
,that,0,O
,fine,0,O
,harness,0,O
,upon,0,O
,you.,0,O
,”,0,O
,Next,0,O
,day,0,O
,",",0,O
,however,0,O
,",",0,O
,there,0,O
,was,0,O
,a,0,O
,great,0,O
,battle,0,O
,",",0,O
,and,0,O
,the,0,O
,Horse,0,B-per
,was,0,O
,wounded,0,O
,to,0,O
,death,0,O
,in,0,O
,the,0,O
,final,0,O
,charge,0,O
,of,0,O
,the,0,O
,day,0,O
,.,0,O
Sentence: 3,His,0,O
,friend,0,O
,",",0,O
,the,0,O
,Ass,0,B-per
,",",0,O
,happened,0,O
,to,0,O
,pass,0,O
,by,0,O
,shortly,0,O
,afterwards,0,O
,and,0,O
,found,0,O
,him,0,O
,on,0,O
,the,0,O
,point,0,O
,of,0,O
,death,0,O
,.,0,O
Sentence: 4,“,0,O
,I,0,O
,was,0,O
,wrong,0,O
,",",0,O
,”,0,O
,said,0,O
,the,0,O
,Ass,0,B-per
,:,0,O
,“,0,O
,Better,0,O
,humble,0,O
,security,0,O
,than,0,O
,gilded,0,O
,danger,0,O
,.,0,O
,”,0,O
Sentence: 1,A,0,O
,great,0,O
,conflict,0,O
,was,0,O
,about,0,O
,to,0,O
,come,0,O
,off,0,O
,between,0,O
,the,0,O
,Birds,0,B-per
,and,0,O
,the,0,O
,Beasts,0,B-per
,.,0,O
Sentence: 2,When,0,O
,the,0,O
,two,0,O
,armies,0,O
,were,0,O
,collected,0,O
,together,0,O
,the,0,O
,Bat,0,B-per
,hesitated,0,O
,which,0,O
,to,0,O
,join,0,O
,.,0,O
Sentence: 3,The,0,O
,Birds,0,B-per
,that,0,O
,passed,0,O
,his,0,O
,perch,0,O
,said,0,O
,:,0,O
,“,0,O
,Come,0,O
,with,0,O
,us,0,O
,”,0,O
,;,0,O
,but,0,O
,he,0,O
,said,0,O
,:,0,O
,“,0,O
,I,0,O
,am,0,O
,a,0,O
,Beast.,0,O
,”,0,O
,Later,0,O
,on,0,O
,",",0,O
,some,0,O
,Beasts,0,B-per
,who,0,O
,were,0,O
,passing,0,O
,underneath,0,O
,him,0,O
,looked,0,O
,up,0,O
,and,0,O
,said,0,O
,:,0,O
,“,0,O
,Come,0,O
,with,0,O
,us,0,O
,”,0,O
,;,0,O
,but,0,O
,he,0,O
,said,0,O
,:,0,O
,“,0,O
,I,0,O
,am,0,O
,a,0,O
,Bird.,0,O
,”,0,O
,Luckily,0,O
,at,0,O
,the,0,O
,last,0,O
,moment,0,O
,peace,0,O
,was,0,O
,made,0,O
,",",0,O
,and,0,O
,no,0,O
,battle,0,O
,took,0,O
,place,0,O
,",",0,O
,so,0,O
,the,0,O
,Bat,0,B-per
,came,0,O
,to,0,O
,the,0,O
,Birds,0,B-per
,and,0,O
,wished,0,O
,to,0,O
,join,0,O
,in,0,O
,the,0,O
,rejoicings,0,O
,",",0,O
,but,0,O
,they,0,O
,all,0,O
,turned,0,O
,against,0,O
,him,0,O
,and,0,O
,he,0,O
,had,0,O
,to,0,O
,fly,0,O
,away,0,O
,.,0,O
Sentence: 4,He,0,O
,then,0,O
,went,0,O
,to,0,O
,the,0,O
,Beasts,0,B-per
,",",0,O
,but,0,O
,soon,0,O
,had,0,O
,to,0,O
,beat,0,O
,a,0,O
,retreat,0,O
,",",0,O
,or,0,O
,else,0,O
,they,0,O
,would,0,O
,have,0,O
,torn,0,O
,him,0,O
,to,0,O
,pieces,0,O
,.,0,O
Sentence: 5,“,0,O
,Ah,0,O
,",",0,O
,”,0,O
,said,0,O
,the,0,O
,Bat,0,B-per
,",",0,O
,“,0,O
,I,0,O
,see,0,O
,now,0,O
,",",0,O
,“,0,O
,He,0,O
,that,0,O
,is,0,O
,neither,0,O
,one,0,O
,thing,0,O
,nor,0,O
,the,0,O
,other,0,O
,has,0,O
,no,0,O
,friends,0,O
,.,0,O
,”,0,O
Sentence: 1,The,0,O
,Hare,0,B-per
,was,0,O
,once,0,O
,boasting,0,O
,of,0,O
,his,0,O
,speed,0,O
,before,0,O
,the,0,O
,other,0,O
,animals,0,O
,.,0,O
Sentence: 2,“,0,O
,I,0,O
,have,0,O
,never,0,O
,yet,0,O
,been,0,O
,beaten,0,O
,",",0,O
,”,0,O
,said,0,O
,he,0,O
,",",0,O
,“,0,O
,when,0,O
,I,0,O
,put,0,O
,forth,0,O
,my,0,O
,full,0,O
,speed,0,O
,.,0,O
Sentence: 3,I,0,O
,challenge,0,O
,any,0,O
,one,0,O
,here,0,O
,to,0,O
,race,0,O
,with,0,O
,me.,0,O
,”,0,O
,The,0,O
,Tortoise,0,B-per
,said,0,O
,quietly,0,O
,",",0,O
,“,0,O
,I,0,O
,accept,0,O
,your,0,O
,challenge.,0,O
,”,0,O
,“,0,O
,That,0,O
,is,0,O
,a,0,O
,good,0,O
,joke,0,O
,",",0,O
,”,0,O
,said,0,O
,the,0,O
,Hare,0,B-per
,;,0,O
,“,0,O
,I,0,O
,could,0,O
,dance,0,O
,round,0,O
,you,0,O
,all,0,O
,the,0,O
,way.,0,O
,”,0,O
,“,0,O
,Keep,0,O
,your,0,O
,boasting,0,O
,till,0,O
,you,0,O
,’,0,O
,ve,0,O
,beaten,0,O
,",",0,O
,”,0,O
,answered,0,O
,the,0,O
,Tortoise,0,B-per
,.,0,O
Sentence: 4,“,0,O
,Shall,0,O
,we,0,O
,race,0,O
,?,0,O
,”,0,O
,So,0,O
,a,0,O
,course,0,O
,was,0,O
,fixed,0,O
,and,0,O
,a,0,O
,start,0,O
,was,0,O
,made,0,O
,.,0,O
Sentence: 5,The,0,O
,Hare,0,B-per
,darted,0,O
,almost,0,O
,out,0,O
,of,0,O
,sight,0,O
,at,0,O
,once,0,O
,",",0,O
,but,0,O
,soon,0,O
,stopped,0,O
,and,0,O
,",",0,O
,to,0,O
,show,0,O
,his,0,O
,contempt,0,O
,for,0,O
,the,0,O
,Tortoise,0,B-per
